1.2461,1.3821,,1
1.2533,1.3357,,1
1.2756,1.3979,,1
1.2733,1.3291,,1
1.232,1.3507,,1
1.239,1.3455,,1
1.2681,1.3197,,1
1.2275,1.3993,,1
1.2987,1.3218,,1
1.2185,1.3188,,1
1.2253,1.3977,,1
1.2273,1.3366,,1
1.2152,1.3894,,1
1.2218,1.3482,,1
1.2581,1.3485,,1
1.2279,1.3689,,1
1.2185,1.3463,,1
1.2446,1.3591,,1
1.2881,1.3334,,1
1.2491,1.3711,,1
1.2128,1.3007,,2
1.2729,1.3559,,2
1.2716,1.2982,,2
1.2072,1.3704,,2
1.2865,1.3283,,2
1.2553,1.3148,,2
1.2076,1.3009,,2
1.2426,1.3598,,2
1.2239,1.3583,,2
1.2788,1.307,,2
1.2728,1.3609,,2
1.2808,1.3152,,2
1.1906,1.3298,,2
1.2709,1.3361,,2
1.2272,1.3792,,2
1.2711,1.3614,,2
1.2731,1.3205,,2
1.2252,1.3209,,2
1.2084,1.3461,,2
1.215,1.3271,,2
1.2394,1.2936,,3
1.2687,1.3299,,3
1.1901,1.2953,,3
1.2147,1.3483,,3
1.213,1.3534,,3
1.1993,1.2891,,3
1.2152,1.3305,,3
1.1973,1.3252,,3
1.2344,1.3092,,3
1.2677,1.3718,,3
1.2702,1.3434,,3
1.1949,1.3273,,3
1.2006,1.3113,,3
1.2281,1.3054,,3
1.259,1.3175,,3
1.2239,1.3734,,3
1.1934,1.3295,,3
1.2084,1.3346,,3
1.2167,1.3654,,3
1.1952,1.2883,,3
1.1936,1.3261,,4
1.1818,1.3271,,4
1.2385,1.2588,,4
1.2455,1.2838,,4
1.2378,1.3448,,4
1.159,1.3353,,4
1.2196,1.3501,,4
1.1587,1.3061,,4
1.2509,1.3374,,4
1.171,1.2728,,4
1.1858,1.2885,,4
1.2539,1.3395,,4
1.1817,1.2597,,4
1.2197,1.3129,,4
1.2374,1.3348,,4
1.2183,1.2657,,4
1.2094,1.2658,,4
1.243,1.2948,,4
1.1957,1.3272,,4
1.2028,1.2912,,4
1.2228,1.3369,,5
1.2059,1.2684,,5
1.2096,1.2524,,5
1.16,1.2933,,5
1.2328,1.2618,,5
1.2403,1.2531,,5
1.2189,1.2724,,5
1.156,1.2505,,5
1.2365,1.3367,,5
1.2304,1.2997,,5
1.2342,1.3221,,5
1.1919,1.3415,,5
1.1864,1.2888,,5
1.175,1.3392,,5
1.2493,1.299,,5
1.1911,1.3043,,5
1.1861,1.3164,,5
1.1673,1.3089,,5
1.1764,1.2501,,5
1.1598,1.2882,,5
1.1519,1.2827,,6
1.1428,1.3266,,6
1.1642,1.269,,6
1.1344,1.278,,6
1.1968,1.2632,,6
1.224,1.2619,,6
1.1623,1.2731,,6
1.1727,1.2547,,6
1.2046,1.2969,,6
1.2201,1.3234,,6
1.1844,1.232,,6
1.1359,1.3178,,6
1.1943,1.3121,,6
1.1782,1.2938,,6
1.1442,1.2943,,6
1.1408,1.3074,,6
1.2238,1.2998,,6
1.1538,1.3333,,6
1.2317,1.308,,6
1.2074,1.2572,,6
1.1906,1.2586,,7
1.1786,1.2687,,7
1.1454,1.2636,,7
1.1755,1.2846,,7
1.208,1.2989,,7
1.1597,1.3185,,7
1.1548,1.2801,,7
1.1362,1.2771,,7
1.1352,1.2435,,7
1.2026,1.2951,,7
1.2215,1.3044,,7
1.1258,1.3228,,7
1.1725,1.2334,,7
1.1851,1.2411,,7
1.1967,1.2644,,7
1.1341,1.2482,,7
1.1404,1.2462,,7
1.1577,1.2654,,7
1.1374,1.2863,,7
1.1457,1.2762,,7
1.15,1.2383,,8
1.1522,1.223,,8
1.183,1.2559,,8
1.1357,1.2355,,8
1.1213,1.2911,,8
1.189,1.2879,,8
1.1761,1.2982,,8
1.1665,1.2659,,8
1.178,1.2327,,8
1.2031,1.2517,,8
1.1956,1.2725,,8
1.1238,1.2343,,8
1.1631,1.2608,,8
1.1571,1.2954,,8
1.1515,1.2154,,8
1.1248,1.236,,8
1.1867,1.2039,,8
1.1933,1.2938,,8
1.1717,1.2186,,8
1.1443,1.2862,,8
